Genome ID,species
1590.587,plantarum
1590.483,plantarum
1590.485,plantarum
1590.585,plantarum
1590.142,plantarum
1590.484,plantarum
1590.482,plantarum
1590.293,plantarum
1590.265,plantarum
1590.266,plantarum
1590.175,plantarum
1590.596,plantarum
1590.323,plantarum
1590.336,plantarum
1590.337,plantarum
1590.338,plantarum
1590.267,plantarum
1590.226,plantarum
1590.200,plantarum
1590.269,plantarum
1590.593,plantarum
1590.264,plantarum
1590.228,plantarum
1590.229,plantarum
1590.230,plantarum
1590.231,plantarum
1590.227,plantarum
1590.232,plantarum
1590.233,plantarum
1590.234,plantarum
1590.235,plantarum
1590.236,plantarum
1590.237,plantarum
1590.238,plantarum
1590.239,plantarum
1590.203,plantarum
1590.204,plantarum
1590.205,plantarum
1590.207,plantarum
1590.206,plantarum
1590.208,plantarum
1590.209,plantarum
1590.211,plantarum
1590.212,plantarum
1590.210,plantarum
1590.215,plantarum
1590.214,plantarum
1590.218,plantarum
1590.216,plantarum
1590.213,plantarum
1590.217,plantarum
1590.219,plantarum
1590.155,plantarum
1590.221,plantarum
1590.220,plantarum
1590.222,plantarum
1590.225,plantarum
1590.224,plantarum
1590.223,plantarum
1590.146,plantarum
1590.263,plantarum
1590.479,plantarum
1590.351,plantarum
1590.325,plantarum
1590.330,plantarum
1590.328,plantarum
1590.329,plantarum
1590.331,plantarum
1590.332,plantarum
1590.334,plantarum
1590.335,plantarum
1590.333,plantarum
1590.289,plantarum
1590.601,plantarum
1590.148,plantarum
1590.360,plantarum
1590.359,plantarum
1590.624,plantarum
1590.358,plantarum
1590.367,plantarum
1590.384,plantarum
1590.368,plantarum
1590.377,plantarum
1590.369,plantarum
1590.378,plantarum
1590.379,plantarum
1590.356,plantarum
1590.357,plantarum
1590.362,plantarum
1590.361,plantarum
1590.621,plantarum
1590.623,plantarum
1590.364,plantarum
1590.622,plantarum
1590.371,plantarum
1590.620,plantarum
1590.363,plantarum
1590.366,plantarum
1590.365,plantarum
1590.381,plantarum
1590.370,plantarum
1590.372,plantarum
1590.380,plantarum
1590.373,plantarum
1590.374,plantarum
1590.375,plantarum
1590.382,plantarum
1590.383,plantarum
1590.376,plantarum
1590.480,plantarum
1590.478,plantarum
1590.595,plantarum
1590.174,plantarum
1590.151,plantarum
1590.268,plantarum
1590.481,plantarum
1590.327,plantarum
1590.147,plantarum
1590.348,plantarum
1590.270,plantarum
1590.472,plantarum
1590.469,plantarum
1590.470,plantarum
1590.471,plantarum
1590.592,plantarum
1590.262,plantarum
1590.156,plantarum
1590.290,plantarum
1590.185,plantarum
1590.153,plantarum
1423831.3,plantarum
525338.3,plantarum
525338.16,plantarum
1036177.3,plantarum
767468.48,plantarum
889932.4,plantarum
337330.9,plantarum
337330.19,plantarum
337330.18,plantarum
337330.6,plantarum
1284223.3,plantarum
220668.9,plantarum
1390373.4,plantarum
1350466.3,plantarum
1350466.4,plantarum
1284663.3,plantarum
349123.13,reuteri
927703.3,reuteri
525341.3,reuteri
557436.17,reuteri
557436.4,reuteri
1340495.3,reuteri
557433.4,reuteri
863368.3,reuteri
863369.3,reuteri
585517.3,reuteri
548485.3,reuteri
491077.3,reuteri
1598.347,reuteri
1598.346,reuteri
1598.345,reuteri
1598.344,reuteri
1598.342,reuteri
1598.343,reuteri
1598.341,reuteri
1598.338,reuteri
1598.340,reuteri
1598.337,reuteri
1598.335,reuteri
1598.339,reuteri
1598.336,reuteri
1598.332,reuteri
1598.330,reuteri
1598.333,reuteri
1598.334,reuteri
1598.331,reuteri
1598.329,reuteri
1598.326,reuteri
1598.325,reuteri
1598.327,reuteri
1598.328,reuteri
1598.324,reuteri
1598.323,reuteri
1598.276,reuteri
